Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,
80858,Minor injury,2021,February,Tuesday,6,Rear-end,Multi-Vehicle,152.8297231,-27.22742042,Mt Samson Rd,,,Armstrong Creek,Moreton Bay Region,4520,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,303,Veh'S Same Direction: Right Rear,Rear-end,S,0,0,0,1,1,2,0,0,0,0,0,0
80859,Hospitalisation,2021,February,Friday,14,Hit object,Single Vehicle,152.7477948,-27.29386861,Mount Glorious Rd,,Mount Glorious Road,Laceys Creek,Moreton Bay Region,4521,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,W,0,1,0,0,1,0,1,0,0,0,0,0
80860,Minor injury,2021,February,Saturday,14,Angle,Multi-Vehicle,152.8316221,-27.22111542,Mt Samson Rd,,,Armstrong Creek,Moreton Bay Region,4520,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,500,Veh'S Overtaking: Other,Other,,0,0,0,1,1,1,1,1,0,0,0,0
80861,Hospitalisation,2021,March,Sunday,9,Fall from vehicle,Single Vehicle,152.8264791,-27.16394042,Mount Mee Rd,,Brisbane - Woodford Road,King Scrub,Moreton Bay Region,4521,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
80862,Medical treatment,2021,March,Wednesday,12,Rear-end,Multi-Vehicle,152.8331151,-27.21484633,Mt Samson Rd,,,Dayboro,Moreton Bay Region,4521,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,3,0,0,0,0,0,0
80863,Hospitalisation,2021,April,Saturday,16,Hit object,Single Vehicle,152.8042234,-27.32880828,Cedar Creek Rd,,,Cedar Creek,Moreton Bay Region,4520,Dayboro,Moreton,North Coast,SEQ North,North Coast,Samford Valley,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Curved - view obscured,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,E,0,3,0,0,3,1,0,0,0,0,0,0
80864,Hospitalisation,2021,April,Friday,12,Hit object,Single Vehicle,152.7757061,-27.13284842,Freds Rd,,,Ocean View,Moreton Bay Region,4521,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Glass House,Dickson,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,800,Off Path-Curve: Other,Other,E,0,1,0,0,1,1,0,0,0,0,0,0
80865,Hospitalisation,2021,May,Saturday,1,Hit object,Single Vehicle,152.8904851,-27.30236843,Clear Mountain Rd,,,Cashmere,Moreton Bay Region,4500,Dayboro,Moreton,North Coast,SEQ North,North Coast,Cashmere,The Hills District,Moreton Bay - South,Major Cities,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,S,0,1,0,0,1,1,0,0,0,0,0,0
80866,Hospitalisation,2021,May,Sunday,12,Fall from vehicle,Single Vehicle,152.8087341,-27.14140542,Mount Mee Rd,,Brisbane - Woodford Road,Ocean View,Moreton Bay Region,4521,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Glass House,Dickson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,802,Off Path-Curve: Off Cway Left Bend,Off carriageway on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
80867,Hospitalisation,2021,June,Sunday,14,Rear-end,Multi-Vehicle,152.8335761,-27.24366942,Mt Samson Rd,,,Kobble Creek,Moreton Bay Region,4520,Dayboro,Moreton,North Coast,SEQ North,North Coast,Dayboro,The Hills District,Moreton Bay - South,Inner Regional,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Grade,505,Veh'S Overtaking: Pulling Out Rear End,Overtaking same direction,,0,1,0,0,1,1,1,0,0,0,0,0
